date,price_eth
2024-12-10,3713.3138979971745
2024-12-11,3626.5886417774996
2024-12-12,3828.1075883404096
2024-12-13,3878.850012073054
2024-12-14,3907.4296595053356
2024-12-15,3866.9958020348054
2024-12-16,3961.3154661802305
2024-12-17,3992.857195846062
2024-12-18,3879.4062240100893
2024-12-19,3628.2624780444953
2024-12-20,3434.6754695380805
2024-12-21,3468.658920056454
2024-12-22,3337.5972231166807
2024-12-23,3275.8894274015142
2024-12-24,3414.6414419807993
2024-12-25,3497.555287927574
2024-12-26,3494.5109273631047
2024-12-27,3327.7897761683494
2024-12-28,3328.6111553091764
2024-12-29,3397.8341205085153
2024-12-30,3357.330742971463
2024-12-31,3359.513941757392
2025-01-01,3336.6175137659498
2025-01-02,3348.967247123586
2025-01-03,3448.140436960939
2025-01-04,3604.2913795931763
2025-01-05,3660.37804173532
2025-01-06,3635.8549961807084
2025-01-07,3687.1447140588307
2025-01-08,3380.0211263090155
2025-01-09,3325.1300293537356
2025-01-10,3219.09284475812
2025-01-11,3269.1759954060667
2025-01-12,3283.591322828503
2025-01-13,3264.070968533687
2025-01-14,3134.5520394596483
2025-01-15,3224.8006483414138
2025-01-16,3447.0340476747956
2025-01-17,3309.4466139900196
2025-01-18,3477.284285084809
2025-01-19,3309.0995676199964
2025-01-20,3208.1365439891497
2025-01-21,3263.069869880814
2025-01-22,3326.0285404709143
2025-01-23,3237.2996671291435
2025-01-24,3332.580893146162
2025-01-25,3311.8499838687
2025-01-26,3320.1314101789453
2025-01-27,3232.2767744705584
2025-01-28,3173.5346079397173
2025-01-29,3076.4937692857234
2025-01-30,3114.4358854363104
2025-01-31,3248.249484352305
2025-02-01,3296.390634843652
2025-02-02,3125.0386801320924
2025-02-03,2862.6976188716285
2025-02-04,2877.8138239498767
2025-02-05,2740.3809762760143
2025-02-06,2790.5521609256075
2025-02-07,2686.662316793651
2025-02-08,2623.4507017824767
2025-02-09,2635.6011418023404
2025-02-10,2632.5358220552475
2025-02-11,2660.2967996436387
2025-02-12,2603.0333698049267
2025-02-13,2736.2703136032396
2025-02-14,2675.7090007037627
2025-02-15,2724.6698335873957
2025-02-16,2692.8213863864253
2025-02-17,2659.9017474093457
2025-02-18,2741.9050800956124
2025-02-19,2669.4945006896073
2025-02-20,2714.8018364720533
2025-02-21,2741.5933625994785
2025-02-22,2658.3470942919384
2025-02-23,2764.355233404291
2025-02-24,2827.1844084879804
2025-02-25,2503.103420098605
2025-02-26,2495.315451693047
2025-02-27,2325.853934699374
2025-02-28,2305.3229378029837
2025-03-01,2235.204208608959
2025-03-02,2212.8243514969954
2025-03-03,2517.3382391622977
2025-03-04,2148.199533470228
2025-03-05,2171.496943535016
2025-03-06,2241.3841149187283
2025-03-07,2202.3207363495417
2025-03-08,2140.7498089428914
2025-03-09,2199.9995000805707
2025-03-10,2017.265460184326
2025-03-11,1879.1231054991026
2025-03-12,1921.3099227587034
2025-03-13,1910.6551381032464
2025-03-14,1862.7949366490388
2025-03-15,1910.6662703455045
2025-03-16,1939.7856881721348
2025-03-17,1887.7643429692785
2025-03-18,1929.1833577618722
2025-03-19,1932.7964059050657
2025-03-20,2060.728601068271
