date,price_fox,vol_fox
2024-12-10,0.07566457408374878,2609571.266933415
2024-12-11,0.07494116791375627,1867814.3996702253
2024-12-12,0.08706415921063591,6655886.552017146
2024-12-13,0.08807655900145545,1887996.1709352743
2024-12-14,0.08202247120974718,760494.6901738842
2024-12-15,0.07761560061641783,588204.200044617
2024-12-16,0.0775285060415559,742474.8214140829
2024-12-17,0.07958314817739627,772193.142905235
2024-12-18,0.07492935425012363,1753412.7091708195
2024-12-19,0.06758760020801785,833747.2398245928
2024-12-20,0.06430974900279292,898422.4264880155
2024-12-21,0.06692732854747158,1221070.1572516132
2024-12-22,0.06291849035862632,515775.7845314324
2024-12-23,0.061623197893600976,392019.9148328332
2024-12-24,0.062409197854129836,541917.9034959305
2024-12-25,0.06351452206908408,378773.6824904386
2024-12-26,0.061137532395606244,600859.6806945199
2024-12-27,0.058221684396063456,510235.04390958196
2024-12-28,0.059151494195359325,536267.0933787823
2024-12-29,0.06222923552382947,647145.7445131381
2024-12-30,0.059591360967548426,451925.6465779828
2024-12-31,0.057082686788508516,458983.5567784636
2025-01-01,0.05558969114098764,359882.32595060644
2025-01-02,0.05578437386455821,442694.2971486535
2025-01-03,0.06059452212313523,674094.3681107231
2025-01-04,0.061436757063421304,558379.9027502628
2025-01-05,0.05952617883172937,590073.9120077122
2025-01-06,0.05914726986093633,390786.43668974924
2025-01-07,0.0691179254943106,3133496.0846405975
2025-01-08,0.059952366241164914,1373436.009291852
2025-01-09,0.0591851159595168,710380.6221216358
2025-01-10,0.056461815776782595,320471.1533731252
2025-01-11,0.056789430415678376,332919.1031406512
2025-01-12,0.05591818371301603,194258.2022123355
2025-01-13,0.05570321771082931,215219.8003118348
2025-01-14,0.053947787320522536,508755.6038589473
2025-01-15,0.0537964468971402,527115.2987103448
2025-01-16,0.054186082151555584,536991.9339804153
2025-01-17,0.05237318469418698,689720.4681967873
2025-01-18,0.0569543511545784,1310470.8769840554
2025-01-19,0.05451322846183735,876419.476046524
2025-01-20,0.04904899756495988,3609178.1542452914
2025-01-21,0.049516777840122504,1051609.1892042153
2025-01-22,0.04987863945522798,636960.0208257607
2025-01-23,0.047253331956801675,515867.9615508935
2025-01-24,0.046307797171271564,691120.5990271824
2025-01-25,0.048482596278485446,1718343.0545116635
2025-01-26,0.04862428333669986,311619.31894945324
2025-01-27,0.0452683175574039,1992070.919911833
2025-01-28,0.05394909942859737,3772812.430711941
2025-01-29,0.05393809318296298,21059682.404945605
2025-01-30,0.0527677275718551,3095783.178888062
2025-01-31,0.055827499969349985,1828653.7365572746
2025-02-01,0.053901934266981436,1185684.8453729507
2025-02-02,0.05060365836752471,1486078.2041889066
2025-02-03,0.048006410435518995,2423634.819684373
2025-02-04,0.048501995083134034,1955518.7853194855
2025-02-05,0.04383663167337642,999986.3515675134
2025-02-06,0.04414215688451977,511358.7864684859
2025-02-07,0.042273904560744195,1814766.9012187594
2025-02-08,0.04330030743934574,669364.9322789458
2025-02-09,0.04220255291983372,452172.86129545467
2025-02-10,0.0426239336351447,196768.26200064918
2025-02-11,0.04331504442335607,276181.4935294783
2025-02-12,0.0418680796257827,488995.39276778034
2025-02-13,0.04322467873250781,464985.2671442067
2025-02-14,0.041611868088955825,325815.66537411726
2025-02-15,0.04212341456932284,343925.3549576517
2025-02-16,0.04148546739601202,341979.5534958744
2025-02-17,0.041584055575160504,364197.16959536413
2025-02-18,0.0420705523151907,245629.69425449576
2025-02-19,0.03989687566247579,276096.69537114043
2025-02-20,0.04089721943822497,309815.1822461432
2025-02-21,0.04234653918505292,469019.9328899449
2025-02-22,0.04394345354303964,3590313.055129452
2025-02-23,0.04285771602161369,1105776.6664037574
2025-02-24,0.042371383895358106,352017.3555845354
2025-02-25,0.03778141069442131,433186.35221141425
2025-02-26,0.03863730964837699,526061.4015328088
2025-02-27,0.03574705086926956,493229.94653375715
2025-02-28,0.04194904078683289,5556200.688248614
2025-03-01,0.03794338472933527,1705565.3522980898
2025-03-02,0.038660550309638574,533037.4327771054
2025-03-03,0.041813531513856465,812248.8648300245
2025-03-04,0.03598331386587185,890694.5404296493
2025-03-05,0.034079393219616616,825838.8389989443
2025-03-06,0.03480521208420154,368082.3339913595
2025-03-07,0.035283647314195664,619940.62080983
2025-03-08,0.03339443019185189,344452.32265265234
2025-03-09,0.03490210902926295,788159.8673282105
2025-03-10,0.029357640720126248,996075.5853774742
2025-03-11,0.026049452278945954,705110.7751983813
2025-03-12,0.0266319765440964,654254.8514165691
2025-03-13,0.027764053578180296,507725.665111306
2025-03-14,0.026395244264071374,299212.5094361559
2025-03-15,0.02826485805402026,759741.6703482661
2025-03-16,0.028450115479704274,310962.85576732684
2025-03-17,0.027113141565784676,133861.35753887115
2025-03-18,0.029135273292577174,379706.0328635053
2025-03-19,0.02798500649722014,273462.39830048423
2025-03-20,0.029335971965455752,390785.5909651932
2025-03-21,0.027960007844363102,148176.7766654112
2025-03-22,0.027889845066781754,163424.76198001852
2025-03-23,0.02771474196193733,133260.05290845304
2025-03-24,0.031047956132729645,1097932.4260598342
2025-03-25,0.030734609505607614,2931814.3041529097
2025-03-26,0.02955164714782478,379104.60906013224
2025-03-27,0.02915722641838158,296297.04506966873
2025-03-28,0.02883034813863887,227388.75457916464
2025-03-29,0.027547263494227592,209892.2879656315
2025-03-30,0.026843903775268088,176148.25441056216
2025-03-31,0.02632388465805478,196360.7247746763
2025-04-01,0.026119160012223346,227943.51945492768
2025-04-02,0.026866756824879847,161568.0344029877
2025-04-03,0.02402392572033253,284321.9386076879
